datetime,temp,Wind1,WinDir,GHI
01/01/2020 00:00,26,27.7,60,0
01/01/2020 01:00,26,26.7,50,0
01/01/2020 02:00,26,25.9,60,0
01/01/2020 03:00,26,29.5,50,0
01/01/2020 04:00,25.8,29.3,57,0
01/01/2020 05:00,26,29.5,60,0
01/01/2020 06:00,26,25.9,50,65.3
01/01/2020 07:00,25.9,29.6,50,277.8
01/01/2020 08:00,28,29.5,50,503.4
01/01/2020 09:00,28,33.5,50,684.3
01/01/2020 10:00,28.2,29.7,57,801.8
01/01/2020 11:00,29,33.5,60,855.8
01/01/2020 12:00,30,35.3,60,839
01/01/2020 13:00,27.9,31.9,63,749.5
01/01/2020 14:00,29,35.3,60,596.3
01/01/2020 15:00,29,33.5,50,386.1
01/01/2020 16:00,27.5,32.1,43,138.8
01/01/2020 17:00,27,33.5,40,8.6
01/01/2020 18:00,27,29.5,50,0
01/01/2020 19:00,26,29.6,47,0
01/01/2020 20:00,26,29.5,60,0
01/01/2020 21:00,26,27.7,60,0
01/01/2020 22:00,25.7,26.9,50,0
01/01/2020 23:00,26,27.7,60,0
01/02/2020 00:00,26,25.9,50,0
01/02/2020 01:00,25.2,26.8,50,0
01/02/2020 02:00,26,35.3,70,0
01/02/2020 03:00,25,22.3,50,0
01/02/2020 04:00,25.7,25.5,50,0
01/02/2020 05:00,26,25.9,50,0
01/02/2020 06:00,26,25.9,60,66.4
01/02/2020 07:00,26,23.2,50,257
01/02/2020 08:00,28,27.7,50,427
01/02/2020 09:00,27,27.7,40,566.8
01/02/2020 10:00,27,29.3,56,645.5
01/02/2020 11:00,29,25.9,50,714.8
01/02/2020 12:00,26.2,36.4,42.8,768
01/02/2020 13:00,29,29.5,40,723.5
01/02/2020 14:00,28,31.7,40,587.3
01/02/2020 15:00,28,33.5,40,378
01/02/2020 16:00,28,31.7,50,130.4
01/02/2020 17:00,27,31.7,40,8.4
01/02/2020 18:00,26,31.7,40,0
01/02/2020 19:00,25.7,31.9,34,0
01/02/2020 20:00,26,33.5,40,0
01/02/2020 21:00,25,29.5,40,0
01/02/2020 22:00,25.5,30.9,34,0
01/02/2020 23:00,25,29.5,40,0
01/03/2020 00:00,25,29.5,40,0
01/03/2020 01:00,25,23.4,34,0
01/03/2020 02:00,25,24.1,40,0
01/03/2020 03:00,25,24.1,40,0
01/03/2020 04:00,24.9,19.8,21,0
01/03/2020 05:00,25,25.9,40,0
01/03/2020 06:00,25,27.7,40,37.5
01/03/2020 07:00,25.7,28.5,50,157.8
01/03/2020 08:00,26,31.7,40,338.8
01/03/2020 09:00,26,25.9,40,555.5
01/03/2020 10:00,26,29.6,27,723.3
01/03/2020 11:00,29,33.5,30,761.8
01/03/2020 12:00,30,35.3,30,688.8
01/03/2020 13:00,28.5,32.1,50,548.3
01/03/2020 14:00,29,35.3,50,429
01/03/2020 15:00,28,35.3,50,347.1
01/03/2020 16:00,26.8,34.4,50,160.6
01/03/2020 17:00,27,35.3,40,11.5
01/03/2020 18:00,26,37.1,40,0
01/03/2020 19:00,25.9,29.2,27,0
01/03/2020 20:00,26,25.9,30,0
01/03/2020 21:00,26,25.9,30,0
01/03/2020 22:00,25.9,27,34,0
01/03/2020 23:00,26,25.9,50,0
01/04/2020 00:00,26,20.5,30,0
01/04/2020 01:00,25.7,17.1,27,0
01/04/2020 02:00,26,20.5,40,0
01/04/2020 03:00,26,16.6,30,0
01/04/2020 04:00,25.7,16,21,0
01/04/2020 05:00,26,16.6,30,0
01/04/2020 06:00,26,22.3,50,50.9
01/04/2020 07:00,25.7,23.3,41,218.2
